x,y,z,nx,ny,nz
-1.492099999999999893e-03,1.268189999999999986e-03,1.897940000000000044e-02,-7.103095744623464380e-01,7.030118733548588184e-01,-3.513707940641175309e-02
-2.042969999999999856e-03,1.953869999999999912e-03,1.933359999999999940e-02,-5.809674147936427779e-01,7.231429138920343336e-01,3.735521235861594680e-01
-2.223249999999999966e-03,2.221260000000000075e-03,1.965259999999999924e-02,-3.974365667623115383e-01,5.894750587229559136e-01,7.032519680340428847e-01
-2.725229999999999927e-03,2.943470000000000114e-03,2.001440000000000163e-02,-5.278241102244352057e-01,7.593925069628060243e-01,3.804270350994101713e-01
-2.772300000000000111e-03,2.964870000000000092e-03,2.006159999999999888e-02,-6.723335664311839155e-01,3.056710924501224724e-01,6.741904468992968580e-01
-3.722749999999999931e-03,3.646889999999999854e-03,2.040300000000000100e-02,-7.799328449773060834e-01,5.596610015586535036e-01,2.801505321429365036e-01
-3.725650000000000055e-03,3.649499999999999966e-03,2.040269999999999931e-02,-7.411064952214264645e-01,6.669958456992838292e-01,-7.666618916126524685e-02
-4.448569999999999781e-03,4.301430000000000184e-03,2.033559999999999882e-02,-7.408707794963268478e-01,6.681180314240036111e-01,-6.876615573535649339e-02
-4.678879999999999845e-03,4.352319999999999800e-03,2.041919999999999846e-02,-9.203462388193778265e-01,2.033625118037331037e-01,3.340755745095724816e-01
-5.153389999999999881e-03,4.401930000000000079e-03,2.072730000000000058e-02,-8.355052843407401175e-01,8.735204138193999879e-02,5.424947379515369095e-01
-5.283910000000000169e-03,4.452059999999999872e-03,2.080100000000000005e-02,-8.258084203861327799e-01,3.171757287308962225e-01,4.663046321058642585e-01
-6.177410000000000366e-03,4.699390000000000338e-03,2.171949999999999922e-02,-6.846478713744948985e-01,1.895175803324612163e-01,7.038042192025437682e-01
-6.196359999999999715e-03,4.729210000000000184e-03,2.177890000000000034e-02,-2.741861181471022535e-01,4.314633268151359946e-01,8.594541117645771999e-01
-6.308270000000000370e-03,4.828800000000000280e-03,2.201739999999999947e-02,-3.973432723243774944e-01,3.536003618156068340e-01,8.468087789238060159e-01
-6.470909999999999856e-03,5.006639999999999702e-03,2.235240000000000143e-02,-3.941079099712075373e-01,4.309404249217876348e-01,8.117692439766092116e-01
-6.629129999999999572e-03,5.258910000000000320e-03,2.279050000000000173e-02,-2.986850057249238466e-01,4.762309846683532855e-01,8.270376754398272023e-01
-6.637510000000000111e-03,5.288039999999999928e-03,2.286250000000000088e-02,-1.072704531451927901e-01,3.728864319951339379e-01,9.216554446841637160e-01
-6.704169999999999748e-03,5.467230000000000006e-03,2.345469999999999847e-02,-1.071192838706353789e-01,2.879493620878977866e-01,9.516357621990751969e-01
-6.692769999999999796e-03,5.636669999999999875e-03,2.385510000000000061e-02,2.621139650219309059e-02,3.895841248536501822e-01,9.206178210068608481e-01
-6.692919999999999772e-03,5.637050000000000220e-03,2.385630000000000042e-02,-1.183305365291865002e-01,2.997706925409250878e-01,9.466442922334920018e-01
-6.729419999999999846e-03,5.730850000000000007e-03,2.413809999999999914e-02,-1.219774749931376301e-01,3.134654014892126472e-01,9.417329439196152618e-01
-6.730019999999999752e-03,5.733720000000000309e-03,2.414650000000000130e-02,-6.743833844282874634e-02,3.225800522182820096e-01,9.441367381999924424e-01
-6.746030000000000082e-03,5.810540000000000323e-03,2.437169999999999961e-02,-6.713353461312784876e-02,3.221235558388742537e-01,9.443143032402229187e-01
-6.752300000000000142e-03,5.835879999999999887e-03,2.443019999999999914e-02,-9.787705114170244802e-02,3.955669020623083787e-01,9.132069364895520902e-01
-6.753280000000000394e-03,6.005929999999999602e-03,2.484319999999999931e-02,-2.194162642113147311e-03,3.807319972359636262e-01,9.246828277474467006e-01
-6.687280000000000307e-03,6.160470000000000355e-03,2.543669999999999959e-02,1.069984600726096718e-01,2.505385154488053989e-01,9.621755462589967056e-01
